=== Object Detection Log ===
[2025-12-08 18:03:06] Frame 00001 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=134.4ms | angle: 1.400141954421997 | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: 80.22222 | Turn: Left
[2025-12-08 18:03:06] Frame 00002 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=6.4ms | angle: 1.5552821159362793 | Angle_log: <LOG> max_angle: 168.83331298828125 min_angle: 0.0 taken_angle: 89.1111 | Turn: Pass
[2025-12-08 18:03:06] Frame 00003 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: 1.5663474798202515 | Angle_log: <LOG> max_angle: 178.49998474121094 min_angle: 0.0 taken_angle: 89.745094 | Turn: Pass
[2025-12-08 18:03:06] Frame 00004 | DETECT=True | HOLD=True(20) | x=20,y=72,w=509,h=395 | area%=82.25 | elong=1.29 | fill=0.64 | elapsed=2.5ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:06] Frame 00005 | DETECT=False | HOLD=True(19) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=10.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:06] Frame 00006 | DETECT=False | HOLD=True(18) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=18.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:06] Frame 00007 | DETECT=False | HOLD=True(17) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:06] Frame 00008 | DETECT=False | HOLD=True(16) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.2ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:06] Frame 00009 | DETECT=False | HOLD=True(15) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00010 | DETECT=False | HOLD=True(14) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00011 | DETECT=False | HOLD=True(13) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.3ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00012 | DETECT=False | HOLD=True(12) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=1.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00013 | DETECT=False | HOLD=True(11) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.3ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00014 | DETECT=False | HOLD=True(10) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00015 | DETECT=False | HOLD=True(9) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00016 | DETECT=False | HOLD=True(8) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00017 | DETECT=False | HOLD=True(7) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00018 | DETECT=False | HOLD=True(6) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00019 | DETECT=False | HOLD=True(5) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.5ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00020 | DETECT=False | HOLD=True(4) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00021 | DETECT=False | HOLD=True(3) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00022 | DETECT=False | HOLD=True(2) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00023 | DETECT=False | HOLD=True(1) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00024 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> Angle Not Found! | Turn: 
[2025-12-08 18:03:07] Frame 00025 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.6ms | angle: None | Angle_log: <LOG> max_angle: 43.25 min_angle: 41.999996185302734 taken_angle: None | Turn: 
[2025-12-08 18:03:07] Frame 00026 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.5ms | angle: None | Angle_log: <LOG> max_angle: 43.25 min_angle: 41.999996185302734 taken_angle: None | Turn: 
[2025-12-08 18:03:07] Frame 00027 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 163.0 min_angle: 39.5 taken_angle: None | Turn: 
[2025-12-08 18:03:07] Frame 00028 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.9ms | angle: None | Angle_log: <LOG> max_angle: 163.0 min_angle: 39.5 taken_angle: None | Turn: 
[2025-12-08 18:03:07] Frame 00029 | DETECT=True | HOLD=True(20) | x=20,y=76,w=402,h=391 | area%=39.00 | elong=1.03 | fill=0.39 | elapsed=4.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00030 | DETECT=True | HOLD=True(20) | x=20,y=72,w=394,h=395 | area%=50.72 | elong=1.00 | fill=0.51 | elapsed=4.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00031 | DETECT=True | HOLD=True(20) | x=20,y=72,w=369,h=395 | area%=50.93 | elong=1.07 | fill=0.54 | elapsed=3.9ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00032 | DETECT=True | HOLD=True(20) | x=20,y=72,w=369,h=395 | area%=51.51 | elong=1.07 | fill=0.55 | elapsed=4.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00033 | DETECT=True | HOLD=True(20) | x=20,y=72,w=372,h=395 | area%=55.64 | elong=1.06 | fill=0.59 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00034 | DETECT=True | HOLD=True(20) | x=20,y=72,w=402,h=395 | area%=68.63 | elong=1.02 | fill=0.67 | elapsed=4.5ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00035 | DETECT=True | HOLD=True(20) | x=20,y=72,w=483,h=395 | area%=85.71 | elong=1.22 | fill=0.70 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00036 | DETECT=True | HOLD=True(20) | x=20,y=72,w=483,h=395 | area%=85.71 | elong=1.22 | fill=0.70 | elapsed=5.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00037 | DETECT=True | HOLD=True(20) | x=20,y=72,w=530,h=395 | area%=91.40 | elong=1.34 | fill=0.68 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00038 | DETECT=True | HOLD=True(20) | x=20,y=72,w=511,h=395 | area%=87.49 | elong=1.29 | fill=0.67 | elapsed=3.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:07] Frame 00039 | DETECT=True | HOLD=True(20) | x=20,y=72,w=534,h=395 | area%=89.85 | elong=1.35 | fill=0.66 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00040 | DETECT=True | HOLD=True(20) | x=20,y=72,w=463,h=395 | area%=77.06 | elong=1.17 | fill=0.66 | elapsed=6.9ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00041 | DETECT=True | HOLD=True(20) | x=20,y=72,w=437,h=395 | area%=66.43 | elong=1.11 | fill=0.60 | elapsed=5.6ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00042 | DETECT=True | HOLD=True(20) | x=20,y=72,w=399,h=395 | area%=45.38 | elong=1.01 | fill=0.45 | elapsed=4.8ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00043 | DETECT=False | HOLD=True(19) | x=188,y=87,w=72,h=90 | area%=1.09 | elong=1.25 | fill=0.26 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00044 | DETECT=False | HOLD=True(18) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.2ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00045 | DETECT=False | HOLD=True(17) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.4ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00046 | DETECT=False | HOLD=True(16) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=6.6ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00047 | DETECT=False | HOLD=True(15) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=6.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00048 | DETECT=False | HOLD=True(14) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00049 | DETECT=False | HOLD=True(13) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00050 | DETECT=False | HOLD=True(12) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.4ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00051 | DETECT=False | HOLD=True(11) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.4ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00052 | DETECT=False | HOLD=True(10) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=7.4ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00053 | DETECT=True | HOLD=True(20) | x=210,y=107,w=413,h=360 | area%=52.02 | elong=1.15 | fill=0.54 | elapsed=4.9ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00054 | DETECT=True | HOLD=True(20) | x=301,y=97,w=322,h=370 | area%=38.20 | elong=1.15 | fill=0.50 | elapsed=8.3ms | angle: None | Angle_log: None | Turn: 
